name,region,pop,dwellings,domain
"Albury, City of",Inland / Rural,56093,25120,alburycity.nsw.gov.au
Armidale Regional Council,Inland / Rural,29124,13110,armidaleregional.nsw.gov.au
Balranald Shire,Inland / Rural,2208,1140,balranald.nsw.gov.au
Bathurst Region,Inland / Rural,43567,18240,bathurst.nsw.gov.au
Berrigan Shire,Inland / Rural,8665,4380,berriganshire.nsw.gov.au
Bland Shire,Inland / Rural,5547,2610,blandshire.nsw.gov.au
Blayney Shire,Inland / Rural,7497,3180,blayney.nsw.gov.au
Bogan Shire,Inland / Rural,2467,1220,bogan.nsw.gov.au
Bourke Shire,Inland / Rural,2340,1180,bourke.nsw.gov.au
Brewarrina Shire,Inland / Rural,1356,620,brewarrina.nsw.gov.au
"Broken Hill, City of",Inland / Rural,17588,9410,brokenhill.nsw.gov.au
Cabonne Council,Inland / Rural,13766,5899,cabonne.nsw.gov.au
Carrathool Shire,Inland / Rural,2866,1290,carrathool.nsw.gov.au
Central Darling Shire,Inland / Rural,1725,980,centraldarling.nsw.gov.au
Cobar Shire,Inland / Rural,4059,2110,cobar.nsw.gov.au
Coolamon Shire,Inland / Rural,4385,1940,coolamon.nsw.gov.au
Coonamble Shire,Inland / Rural,3732,1780,tenders.nsw.gov.au
Cootamundra-Gundagai Regional,Inland / Rural,11403,5340,cgrc.nsw.gov.au
Cowra Shire,Inland / Rural,12724,5890,cowracouncil.com.au
Dubbo Regional Council,Inland / Rural,54922,23110,dubbo.nsw.gov.au
Edward River Council,Inland / Rural,8456,4120,edwardriver.nsw.gov.au
Federation Council,Inland / Rural,12899,6180,federationcouncil.nsw.gov.au
Forbes Shire,Inland / Rural,9319,4210,forbes.nsw.gov.au
Glen Innes Severn Council,Inland / Rural,8912,4390,gisc.nsw.gov.au
Goulburn Mulwaree Council,Inland / Rural,32054,13980,goulburn.nsw.gov.au
Greater Hume Shire,Inland / Rural,10838,4820,greaterhume.nsw.gov.au
"Griffith, City of",Inland / Rural,27086,10410,griffith.nsw.gov.au
Gunnedah Shire,Inland / Rural,12685,5610,gunnedah.nsw.gov.au
Gwydir Shire,Inland / Rural,4882,2480,gwydir.nsw.gov.au
Hay Shire,Inland / Rural,2872,1420,hay.nsw.gov.au
Hilltops Council,Inland / Rural,19160,8920,hilltops.nsw.gov.au
Inverell Shire,Inland / Rural,17853,8110,inverell.nsw.gov.au
Jerilderie (Murrumbidgee),Inland / Rural,3892,1840,murrumbidgee.nsw.gov.au
Junee Shire,Inland / Rural,6527,2380,junee.nsw.gov.au
Lachlan Shire,Inland / Rural,6108,2740,lachlan.nsw.gov.au
Leeton Shire,Inland / Rural,11450,4810,leeton.nsw.gov.au
Liverpool Plains Shire,Inland / Rural,7838,3690,lpsc.nsw.gov.au
Lockhart Shire,Inland / Rural,3319,1520,lockhart.nsw.gov.au
Moree Plains Shire,Inland / Rural,12737,5590,mpsc.nsw.gov.au
Murray River Council,Inland / Rural,12850,6280,murrayriver.nsw.gov.au
Muswellbrook Shire,Inland / Rural,16355,7120,muswellbrook.nsw.gov.au
Narrabri Shire,Inland / Rural,12703,5790,narrabri.nsw.gov.au
Narrandera Shire,Inland / Rural,5698,2710,narrandera.nsw.gov.au
Narromine Shire,Inland / Rural,6488,2820,narromine.nsw.gov.au
Oberon Council,Inland / Rural,5580,2410,oberon.nsw.gov.au
"Orange, City of",Inland / Rural,43512,18320,orange.nsw.gov.au
Parkes Shire,Inland / Rural,14311,6320,parkes.nsw.gov.au
Queanbeyan-Palerang Regional,Inland / Rural,63441,25610,qprc.nsw.gov.au
Snowy Monaro Regional Council,Inland / Rural,20707,12410,snowymonaro.nsw.gov.au
Snowy Valleys Council,Inland / Rural,14891,7180,snowyvalleys.nsw.gov.au
Southern Highlands (Wingecarribee),Inland / Rural,52709,23890,wsc.nsw.gov.au
Tamworth Regional Council,Inland / Rural,63120,26810,tamworth.nsw.gov.au
Tenterfield Shire,Inland / Rural,6811,3490,tenterfield.nsw.gov.au
Temora Shire,Inland / Rural,6236,2890,temora.nsw.gov.au
Upper Lachlan Shire,Inland / Rural,8219,3920,upperlachlan.nsw.gov.au
Uralla Shire,Inland / Rural,5971,2680,uralla.nsw.gov.au
"Wagga Wagga, City of",Inland / Rural,67609,28140,wagga.nsw.gov.au
Walcha Council,Inland / Rural,3016,1480,walcha.nsw.gov.au
Walgett Shire,Inland / Rural,5821,2810,walgett.nsw.gov.au
Warren Shire,Inland / Rural,2552,1210,warren.nsw.gov.au
Warrumbungle Shire,Inland / Rural,9225,4680,warrumbungle.nsw.gov.au
Weddin Shire,Inland / Rural,3607,1790,weddin.nsw.gov.au
Wentworth Shire,Inland / Rural,7452,3510,wentworth.nsw.gov.au
Yass Valley Council,Inland / Rural,17318,6940,yassvalley.nsw.gov.au
Ballina Shire,Coastal Regional,46296,20410,ballina.nsw.gov.au
Bega Valley Shire,Coastal Regional,35942,17890,begavalley.nsw.gov.au
Bellingen Shire,Coastal Regional,13253,6120,bellingen.nsw.gov.au
Byron Shire,Coastal Regional,36116,16840,byron.nsw.gov.au
Clarence Valley Council,Coastal Regional,54115,25480,clarence.nsw.gov.au
"Coffs Harbour, City of",Coastal Regional,78759,34810,coffsharbour.nsw.gov.au
Eurobodalla Shire,Coastal Regional,40593,22140,esc.nsw.gov.au
Kempsey Shire,Coastal Regional,30390,13910,kempsey.nsw.gov.au
Kyogle Council,Coastal Regional,8880,4120,kyogle.nsw.gov.au
"Lismore, City of",Coastal Regional,44334,18920,lismore.nsw.gov.au
Mid-Coast Council,Coastal Regional,96220,47810,midcoast.nsw.gov.au
Nambucca Valley Council,Coastal Regional,20407,9680,nambucca.nsw.gov.au
Port Macquarie-Hastings Council,Coastal Regional,86756,39810,pmhc.nsw.gov.au
Richmond Valley Council,Coastal Regional,23565,9820,richmondvalley.nsw.gov.au
Tweed Shire,Coastal Regional,97392,43210,tweed.nsw.gov.au
Central Coast Council,Outer Metro / Major Regional,346596,152430,centralcoast.nsw.gov.au
"Cessnock, City of",Outer Metro / Major Regional,63632,25890,cessnock.nsw.gov.au
Dungog Shire,Outer Metro / Major Regional,9541,4210,dungog.nsw.gov.au
"Kiama, Municipality of",Outer Metro / Major Regional,23006,10680,kiama.nsw.gov.au
"Lake Macquarie, City of",Outer Metro / Major Regional,213845,88710,lakemac.com.au
"Maitland, City of",Outer Metro / Major Regional,90716,35620,maitland.nsw.gov.au
"Newcastle, City of",Outer Metro / Major Regional,168812,74180,newcastle.nsw.gov.au
Port Stephens Council,Outer Metro / Major Regional,74540,33210,portstephens.nsw.gov.au
"Shellharbour, City of",Outer Metro / Major Regional,76420,28910,shellharbour.nsw.gov.au
"Shoalhaven, City of",Outer Metro / Major Regional,108531,54210,shoalhaven.nsw.gov.au
Singleton Council,Outer Metro / Major Regional,24577,9840,singleton.nsw.gov.au
Upper Hunter Shire,Outer Metro / Major Regional,14118,6290,upperhunter.nsw.gov.au
"Wollongong, City of",Outer Metro / Major Regional,214638,89450,wollongong.nsw.gov.au
Bayside Council,Metropolitan Sydney,175184,68142,bayside.nsw.gov.au
Blacktown City Council,Metropolitan Sydney,396776,127112,blacktown.nsw.gov.au
"Blue Mountains, City of",Metropolitan Sydney,78121,35420,bmcc.nsw.gov.au
Burwood Council,Metropolitan Sydney,40217,15892,burwood.nsw.gov.au
Camden Council,Metropolitan Sydney,119325,39410,camden.nsw.gov.au
"Campbelltown, City of",Metropolitan Sydney,176519,60821,campbelltown.nsw.gov.au
"Canada Bay, City of",Metropolitan Sydney,89177,37215,canadabay.nsw.gov.au
"Canterbury-Bankstown, City of",Metropolitan Sydney,371006,122890,cbcity.nsw.gov.au
Cumberland City Council,Metropolitan Sydney,235439,79218,cumberland.nsw.gov.au
"Fairfield, City of",Metropolitan Sydney,208475,68450,fairfieldcity.nsw.gov.au
Georges River Council,Metropolitan Sydney,152274,57320,georgesriver.nsw.gov.au
"Hawkesbury, City of",Metropolitan Sydney,67111,25180,hawkesbury.nsw.gov.au
Hornsby Shire,Metropolitan Sydney,151128,56810,hornsby.nsw.gov.au
"Hunter's Hill, Municipality of",Metropolitan Sydney,13556,5020,huntershill.nsw.gov.au
Inner West Council,Metropolitan Sydney,182818,80412,innerwest.nsw.gov.au
Ku-ring-gai Council,Metropolitan Sydney,124076,44920,krg.nsw.gov.au
Lane Cove Council,Metropolitan Sydney,39489,16810,lanecove.nsw.gov.au
"Liverpool, City of",Metropolitan Sydney,233420,72150,liverpool.nsw.gov.au
Mosman Municipal Council,Metropolitan Sydney,28329,12840,mosman.nsw.gov.au
North Sydney Council,Metropolitan Sydney,68950,39036,northsydney.nsw.gov.au
Northern Beaches Council,Metropolitan Sydney,263554,102410,northernbeaches.nsw.gov.au
"Parramatta, City of",Metropolitan Sydney,256729,101230,cityofparramatta.nsw.gov.au
"Penrith, City of",Metropolitan Sydney,217664,75410,penrithcity.nsw.gov.au
"Randwick, City of",Metropolitan Sydney,134252,58190,randwick.nsw.gov.au
"Ryde, City of",Metropolitan Sydney,129083,51210,ryde.nsw.gov.au
"Strathfield, Municipality of",Metropolitan Sydney,45988,17210,strathfield.nsw.gov.au
Sutherland Shire,Metropolitan Sydney,230211,88340,sutherlandshire.nsw.gov.au
"Sydney, City of",Metropolitan Sydney,211632,116420,cityofsydney.nsw.gov.au
The Hills Shire,Metropolitan Sydney,191876,63510,thehills.nsw.gov.au
Waverley Council,Metropolitan Sydney,68605,34180,waverley.nsw.gov.au
"Willoughby, City of",Metropolitan Sydney,75613,30120,willoughby.nsw.gov.au
Woollahra Municipal Council,Metropolitan Sydney,53496,25610,woollahra.nsw.gov.au
